top_level_category,subcategory,product_name,image_url,product_url,price
special-buys,easter,Choceur Premium Decorated Rabbit 180g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_12.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/choceur-premium-decorated-rabbit-180g/,$5.99
special-buys,easter,Choceur Chocolate Sitting Bunny 100g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_13.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/choceur-chocolate-sitting-bunny-100g/,$1.99
special-buys,easter,Choceur Kid’s Eggs 120g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_14.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/choceur-kids-eggs-120g/,$4.99
special-buys,easter,Cadbury Hollow Bunny 100g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_15.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/cadbury-hollow-bunny-100g/,$2.99
special-buys,easter,Kinder Bunny 75g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_16.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/kinder-bunny-75g/,$4.99
special-buys,easter,Choceur Flame Egg 325g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_17.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/choceur-flame-egg-325g-4/,$7.99
special-buys,easter,Specially Selected Luxury Half Egg 150g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_18.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/specially-selected-luxury-half-egg-150g-1/,$8.99
special-buys,easter,Choceur Deluxe Easter Eggs 150g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_19.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/choceur-deluxe-easter-eggs-150g-2/,$6.49
special-buys,easter,Ferrero Rocher Eggs 100g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_20.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/ferrero-rocher-eggs-100g/,$4.99
special-buys,easter,Moser Roth Finest Easter Eggs 150g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_21.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/moser-roth-finest-easter-eggs-150g-3/,$3.49
special-buys,easter,Specially Selected Truffle Eggs 150g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_22.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/specially-selected-truffle-eggs-150g-2/,$4.49
special-buys,easter,Specially Selected Turkish Delight 300g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_23.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/specially-selected-turkish-delight-300g-1/,$3.99
special-buys,easter,Choices Free From Easter Eggs 115g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_24.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/choices-free-from-easter-eggs-115g/,$6.49
special-buys,easter,Sweet William Hollow Egg 100g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_25.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/sweet-william-hollow-egg-100g/,$7.99
special-buys,easter,Sweet William Bunny 120g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_26.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/sweet-william-bunny-120g/,$9.99
special-buys,easter,Belmont Biscuit Co. Easter Cookies 300g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_27.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/belmont-biscuit-co-easter-cookies-300g-2/,$3.99
special-buys,easter,Darrell Lea Mini Hot Cross Buns 120g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_28.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/darrell-lea-mini-hot-cross-buns-120g/,$5.99
special-buys,easter,Darrell Lea Easter Brittle Eggs 130g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_29.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/darrell-lea-easter-brittle-eggs-130g-1/,$4.99
special-buys,easter,Trolli Easter Hunt Mix 300g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_30.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/trolli-easter-hunt-mix-300g/,$3.99
special-buys,easter,Cadbury Buttons Gift Box 135g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_31.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/cadbury-buttons-gift-box-135g/,$6.99
special-buys,easter,Cadbury Humpty Dumpty Carton 175g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_32.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/cadbury-humpty-dumpty-carton-175g/,$6.99
special-buys,easter,Licensed Egg Bag 15pk/75g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_34.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/licensed-egg-bag-15pk75g/,$4.99
special-buys,easter,Licensed Mug Gift Set with Chocolate Egg 90g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_35.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/licensed-mug-gift-set-with-chocolate-egg-90g/,$8.99
special-buys,easter,Licensed Mug Set with Chocolate Egg 60g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_37.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/licensed-mug-set-with-chocolate-egg-60g/,$4.99
special-buys,easter,Bakers Life Mini Fruit Hot Cross Buns,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK06/ALN1992_EASTER-1x1_228x128_1R.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/mini-fruit-hot-cross-buns/,$2.99
